,RCDTS,School_Name,School_Type,County,#_Student_Enrollment,Perc_Student_Enrollment_Low_Income,Student_Attendance_Rate,$_Site_level_Per_Pupil_Expenditures_Subtotal,$_District_Centralized_Per_Pupil_Expenditure_Subtotal,$_Total_Per_Pupil_Expenditures_Subtotal,SAT_Reading_Average,SAT_Math_Average,Address,City,County_Name,Rec_Type,Zip,Lat,Lng,Avg_Home_Value
7273,6.01621E+13,Riverside Brookfield Twp HS,HIGH SCHOOL,Cook,1636,11.7,94.6,13017.3,2108.76,15126.06,537.6,545,160 Ridgewood Rd,Riverside,Cook,Sch,60546,41.8286314,-87.8301598,309318.08
6568,6.01621E+13,Proviso East High School,HIGH SCHOOL,Cook,1660,45.8,82,10350.1864,6988.0311,17338.2175,421.1,404.9,807 S 1st Ave,Maywood,Cook,Sch,60153,41.8802148,-87.8335909,165509.75
11092,6.01621E+13,Proviso West High School,HIGH SCHOOL,Cook,1852,25.3,85.6,10779.4121,6963.9988,17743.4109,426.2,404.3,4701 Harrison St,Hillside,Cook,Sch,60162,41.8670215,-87.9003778,196998.67
6326,6.01621E+13,Proviso Math and Science Academy,HIGH SCHOOL,Cook,822,30.7,95.7,9999.3634,6329.4314,16328.7948,574.4,579.3,8601 Roosevelt Rd,Forest Park,Cook,Sch,60130,41.8650692,-87.8326409,255507.92
7444,6.01621E+13,East Leyden High School,HIGH SCHOOL,Cook,1813,53.8,92.1,12087.5618,9491.653,21579.2148,484.2,483.3,3400 Rose St,Franklin Park,Cook,Sch,60131,41.9418944,-87.8664838,208192.33
6840,6.01621E+13,West Leyden High School,HIGH SCHOOL,Cook,1606,60.9,93.4,14856.0451,9491.653,24347.6981,471.8,462.1,1000 N Wolf Rd,Northlake,Cook,Sch,60164,41.9271156,-87.9054367,203281.33
5253,6.01623E+13,Ridgewood Comm High School,HIGH SCHOOL,Cook,839,30.4,93.7,19766.77,0,19766.77,490.8,473,7500 W Montrose Ave,Norridge,Cook,Sch,60706,41.9613366,-87.8151834,295541
1766,6.0164E+13,Elmwood Park High School,HIGH SCHOOL,Cook,952,45.8,92,10239.4434,3735.1725,13974.6159,490.7,490.1,8201 W Fullerton Ave,Elmwood Park,Cook,Sch,60707,41.9218509,-87.8303141,267968.33
5803,7.01621E+13,Thornton Township High School,HIGH SCHOOL,Cook,1649,64.1,93.4,17126,6978,24104,427.5,419.7,15001 Broadway Ave,Harvey,Cook,Sch,60426,41.6163282,-87.6438535,43859.5
6186,7.01621E+13,Thornridge High School,HIGH SCHOOL,Cook,1089,97.3,94.7,25820,6978,32798,413.6,396.6,15000 Cottage Grove Ave,Dolton,Cook,Sch,60419,41.6209271,-87.5986872,102993.58
6211,7.01621E+13,Thornwood High School,HIGH SCHOOL,Cook,1780,99.2,94.9,11465,6978,18443,436.2,425.9,17101 S Park Ave,South Holland,Cook,Sch,60473,41.5833193,-87.6052283,151642.33
